epoch 0, processed 0 samples, lr  0.0000010000 
Epoch: [0][0/1612]	Data time 9.691(9.691)	Batch time 10.047(10.047)	Loss 3.6166(3.6166)	
Epoch: [0][40/1612]	Data time 10.606(7.032)	Batch time 10.901(7.366)	Loss 3.4347(2.9628)	
Epoch: [0][80/1612]	Data time 0.069(4.537)	Batch time 0.661(4.965)	Loss 1.5471(3.0552)	
Epoch: [0][120/1612]	Data time 0.016(3.056)	Batch time 0.665(3.542)	Loss 2.0177(2.9916)	
Epoch: [0][160/1612]	Data time 0.016(2.316)	Batch time 0.668(2.829)	Loss 2.5302(3.0950)	
Epoch: [0][200/1612]	Data time 0.063(1.866)	Batch time 0.673(2.399)	Loss 2.1915(2.9732)	
Epoch: [0][240/1612]	Data time 0.014(1.567)	Batch time 0.668(2.115)	Loss 3.0879(2.9789)	
Epoch: [0][280/1612]	Data time 0.014(1.351)	Batch time 0.686(1.911)	Loss 2.7290(2.9240)	
Epoch: [0][320/1612]	Data time 0.069(1.189)	Batch time 0.696(1.757)	Loss 1.0524(2.8886)	
Epoch: [0][360/1612]	Data time 0.015(1.061)	Batch time 0.680(1.638)	Loss 2.2997(2.8620)	
Epoch: [0][400/1612]	Data time 0.015(0.959)	Batch time 0.682(1.542)	Loss 0.8134(2.8379)	
Epoch: [0][440/1612]	Data time 0.065(0.875)	Batch time 0.703(1.464)	Loss 1.4192(2.7826)	
Epoch: [0][480/1612]	Data time 0.015(0.805)	Batch time 0.703(1.399)	Loss 1.2417(2.7114)	
Epoch: [0][520/1612]	Data time 0.015(0.745)	Batch time 0.683(1.345)	Loss 1.3297(2.7127)	
Epoch: [0][560/1612]	Data time 0.060(0.694)	Batch time 0.684(1.298)	Loss 1.0051(2.7018)	
Epoch: [0][600/1612]	Data time 0.015(0.650)	Batch time 0.681(1.257)	Loss 1.4305(2.6906)	
Epoch: [0][640/1612]	Data time 0.015(0.611)	Batch time 0.684(1.221)	Loss 1.6143(2.6940)	
Epoch: [0][680/1612]	Data time 0.022(0.576)	Batch time 0.689(1.190)	Loss 3.1370(2.7032)	
Epoch: [0][720/1612]	Data time 0.024(0.546)	Batch time 0.680(1.162)	Loss 2.5525(2.7337)	
Epoch: [0][760/1612]	Data time 0.015(0.519)	Batch time 0.691(1.137)	Loss 2.4123(2.7302)	
Epoch: [0][800/1612]	Data time 0.015(0.494)	Batch time 0.694(1.115)	Loss 1.3289(2.7209)	
Epoch: [0][840/1612]	Data time 0.016(0.471)	Batch time 0.681(1.095)	Loss 1.0776(2.7186)	
Epoch: [0][880/1612]	Data time 0.015(0.451)	Batch time 0.685(1.076)	Loss 2.9922(2.7088)	
Epoch: [0][920/1612]	Data time 0.015(0.432)	Batch time 0.680(1.059)	Loss 1.5165(2.6989)	
Epoch: [0][960/1612]	Data time 0.016(0.415)	Batch time 0.688(1.044)	Loss 5.5407(2.6806)	
Epoch: [0][1000/1612]	Data time 0.016(0.399)	Batch time 0.688(1.030)	Loss 1.9421(2.6881)	
Epoch: [0][1040/1612]	Data time 0.015(0.384)	Batch time 0.671(1.016)	Loss 3.3710(2.6647)	
Epoch: [0][1080/1612]	Data time 0.016(0.371)	Batch time 0.673(1.004)	Loss 5.1962(2.6784)	
Epoch: [0][1120/1612]	Data time 0.015(0.358)	Batch time 0.694(0.993)	Loss 1.1863(2.6618)	
Epoch: [0][1160/1612]	Data time 0.015(0.346)	Batch time 0.683(0.982)	Loss 2.0432(2.6392)	
Epoch: [0][1200/1612]	Data time 0.028(0.335)	Batch time 0.678(0.972)	Loss 1.6659(2.6324)	
Epoch: [0][1240/1612]	Data time 0.015(0.326)	Batch time 0.696(0.963)	Loss 0.5371(2.6202)	
Epoch: [0][1280/1612]	Data time 0.016(0.317)	Batch time 0.668(0.955)	Loss 1.8763(2.6003)	
Epoch: [0][1320/1612]	Data time 0.015(0.308)	Batch time 0.679(0.947)	Loss 3.2443(2.5844)	
Epoch: [0][1360/1612]	Data time 0.015(0.299)	Batch time 0.687(0.939)	Loss 1.4626(2.5650)	
Epoch: [0][1400/1612]	Data time 0.018(0.291)	Batch time 0.675(0.931)	Loss 2.6078(2.5453)	
Epoch: [0][1440/1612]	Data time 0.015(0.284)	Batch time 0.683(0.924)	Loss 0.8566(2.5235)	
Epoch: [0][1480/1612]	Data time 0.020(0.277)	Batch time 0.672(0.918)	Loss 1.7109(2.5093)	
Epoch: [0][1520/1612]	Data time 0.016(0.270)	Batch time 0.685(0.912)	Loss 2.2026(2.4821)	
Epoch: [0][1560/1612]	Data time 0.053(0.264)	Batch time 0.691(0.906)	Loss 3.4234(2.4672)	
Epoch: [0][1600/1612]	Data time 0.016(0.258)	Batch time 0.686(0.900)	Loss 3.1689(2.4458)	
Epoch: [0][0/420]	Data time 0.097(0.097)	Batch time 0.671(0.671)	Loss 1.5395(1.5395)	
Epoch: [0][40/420]	Data time 0.063(0.113)	Batch time 0.356(0.414)	Loss 0.8743(2.6506)	
Epoch: [0][80/420]	Data time 0.213(0.123)	Batch time 0.505(0.420)	Loss 4.1510(2.4952)	
Epoch: [0][120/420]	Data time 0.694(0.124)	Batch time 0.986(0.419)	Loss 0.9191(2.2915)	
